property name ,Room Price (in BDT or any other currency),review_count,Comment about room
1. SALA Samui Choengmon Beach Resort," 45,854","2,820","The breakfast is excellent, the pools are really nice, the beach is beautiful, the staff attentive, the gym well equipped,"
"2. Napasai, A Belmond Hotel, Koh Samui"," 29,666","1,191","We a had perfect view at the beach,"
3. Pimalai Resort and Spa," 31,667","3,287",It has everything
4. Avani+ Mai Khao Phuket Suites & Villas," 23,887",144,the villa was very
5. Sheraton Samui Resort," 18,816","1,006",Me & my wife stayed there for 3 Nights and we really enjoyed every bit of our stay though our Room was smaller ( by
6. SALA Samui Chaweng Beach Resort," 26,294",968,"If you prefer private room with nice view go with the Oceanfront Balcony, but"
"7. Phuket Marriott Resort and Spa, Nai Yang Beach"," 17,533","1,474","The hotel is near the airport The service was Excellent , Patty and the team were very"
8. Centara Reserve Samui," 52,090",257,Good food
9. W Koh Samui," 64,543","1,606","The room are very beautiful and comfortable, they have big pool with outdoor"
10. Melia Koh Samui," 18,430",884,... so fantastic and we enjoy our stayed at Melia Koh Samui so much... Our room "Boat Suite" was so spectacular with unique design transformed the old authentic thai boat
11. JW Marriott Khao Lak Resort & Spa," 19,091","4,878","Grateful for the staff for putting together the wonderful welcome amenities,"
"12. Holiday Ao Nang Beach Resort, Krabi"," 12,060","3,050",I stay at holiday ao nang resert second time i feelinging home staff very friendly and
13. Sofitel Krabi Phokeethra Golf & Spa Resort," 14,609","3,736",... one of the greatest moments of our little girls life meeting and giving Elsa
"14. Phulay Bay, a Ritz-Carlton Reserve"," 106,541","1,210","Hong Island, amazing view from the pool, good food, and amazing service from all the staffs with always big smile!"
15. Outrigger Khao Lak Beach Resort," 6,854","1,448","This hotel is fabulous, staff were all super"
16. Amari Phuket," 24,445","9,771",It’s such an amazing place;
17. Explorar Koh Samui - Adults Only Resort and Spa," 12,305","1,112","facilities is perfect. Staff they are very friendly and gently with us. Aieng i love the way he show his coconut and he is good upselling too.Kamlai, Marfia, Nine, Noi..."
18. Amari Vogue Krabi," 18,109","3,042",Private and peaceful beach always clean thank you to everyone!! Cleanliness
19. Nikki Beach Resort & Spa Koh Samui," 20,159",780,pool “the only one in Koh Samui”.
20. Avani+ Koh Lanta Krabi Resort," 10,716","2,221",(Mareeya and all team) and very sweet ladies at restaurant (Ning and Noorar).
21. Kimpton Kitalay Samui," 30,156",223,Kimpton the new resort at Samui
22. Avani+ Khao Lak Resort," 9,174",343,Avani + Khao lak is private location and the best resort Staff (Khun June) very nice was
23. Le Meridien Khao Lak Resort & Spa," 8,413",630,"delicious; drinks - yummy; pools - relaxing; housekeeping - spot on; gym - more than adequate, spa - luxurious (but pricey); concierge - friendly... you get the message!"
24. Centara Kata Resort Phuket," 5,205","1,476",and perfectly clean.
25. CELES BEACH FRONT RESORT – KOH SAMUI," 8,836",253,comfortable with a good sized balcony.
"26. The Standard, Hua Hin"," 11,381",184,This hotel has a "fresh" feeling to it: enthusiastic
27. X10 Khaolak Resort," 4,547",658,facilities where fabulous.
28. Four Seasons Resort Chiang Mai," 189,649","1,573","... recommend to anybody wanting to escape they’re daily stresses of life Staff could not do enough for you, always went the extra mile, from ice packs for sunburn"
29. Hua Hin Marriott Resort & Spa,,"3,230",love everything of this hotel Their facilities was great My kid love their pool and slider a lot Their white beach are nice too Next time this will be my another home...
30. Anantara Mai Khao Phuket Villas,,"2,872","... calm and relaxing atmosphere, nice beach area, very near to local shops and restaurants so you can easily try new tastes when you get bored from the hotel restaurants,"
